"","Lemur","Plante","L","Treatment","Control","Germination","Sex","Date","GerminationDate","Time"
"1","Eulemur albifrons","Grewia",10.23,"Gut Passed, Unwashed","0",1,"",2023-06-13,2023-07-11,28
"2","Eulemur albifrons","Grewia",9.1,"Gut Passed, Unwashed","0",1,"",2023-06-13,2023-06-24,11
"3","Eulemur albifrons","Grewia",9.83,"Gut Passed, Unwashed","0",1,"",2023-06-13,2023-06-24,11
"4","Eulemur albifrons","Grewia",9.21,"Gut Passed, Unwashed","0",1,"",2023-06-13,2023-06-28,15
"5","Eulemur albifrons","Grewia",9.33,"Gut Passed, Unwashed","0",1,"",2023-06-13,2023-07-11,28
"6","Eulemur rubriventer","Cryptocaria",14.53,"Gut Passed, Unwashed","0",1,"",2023-06-21,2023-07-26,35
"7","Control","Syzygium",6.99,"Control","1",0,"",2023-06-22,NA,NA
"8","Control","Syzygium",7.41,"Control","1",0,"",2023-06-22,NA,NA
"9","Control","Syzygium",8.71,"Control","1",0,"",2023-06-22,NA,NA
"10","Control","Syzygium",7.89,"Control","1",0,"",2023-06-22,NA,NA
"11","Control","Syzygium",8.25,"Control","1",1,"",2023-06-22,2023-09-12,82
"12","Control","Syzygium",7.32,"Control","1",1,"",2023-06-22,2023-09-12,82
"13","Control","Syzygium",7.43,"Control","1",1,"",2023-06-22,2023-08-25,64
"14","Control","Syzygium",5.92,"Control","1",0,"",2023-06-22,NA,NA
"15","Control","Syzygium",6.64,"Control","1",0,"",2023-06-22,NA,NA
"16","Control","Syzygium",8.23,"Control","1",0,"",2023-06-22,NA,NA
"17","Control","Syzygium",7.85,"Control","1",0,"",2023-06-22,NA,NA
"18","Control","Syzygium",7.07,"Control","1",0,"",2023-06-22,NA,NA
"19","Control","Syzygium",8.07,"Control","1",0,"",2023-06-22,NA,NA
"20","Control","Syzygium",8.47,"Control","1",1,"",2023-06-22,2023-08-28,67
"21","Control","Syzygium",7.65,"Control","1",0,"",2023-06-22,NA,NA
"22","Control","Syzygium",7.72,"Control","1",1,"",2023-06-22,2023-08-19,58
"23","Control","Syzygium",9.02,"Control","1",0,"",2023-06-22,NA,NA
"24","Control","Syzygium",7.51,"Control","1",0,"",2023-06-22,NA,NA
"25","Control","Syzygium",5.8,"Control","1",0,"",2023-06-22,NA,NA
"26","Control","Syzygium",7.25,"Control","1",0,"",2023-06-22,NA,NA
"27","Control","Syzygium",6.99,"Control","1",0,"",2023-06-22,NA,NA
"28","Control","Syzygium",8.12,"Control","1",0,"",2023-06-22,NA,NA
"29","Control","Syzygium",7.15,"Control","1",0,"",2023-06-22,NA,NA
"30","Control","Syzygium",7.15,"Control","1",0,"",2023-06-22,NA,NA
"31","Eulemur rubriventer","Syzygium",29.71,"Gut Passed, Unwashed","0",0,"F",2023-07-04,NA,NA
"32","Eulemur rubriventer","Syzygium",26.49,"Gut Passed, Unwashed","0",0,"F",2023-07-04,NA,NA
"33","Eulemur rubriventer","Syzygium",7.1,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-07-11,7
"34","Eulemur rubriventer","Syzygium",6,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-08-04,31
"35","Eulemur rubriventer","Syzygium",8.78,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-08-04,31
"36","Eulemur rubriventer","Syzygium",6.14,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-09-30,88
