,X.1,X,Sample_ID,Seed_Number,Length,Width,Plant_Species_Common_Name,Treatment,Germination.Date,germ,Lemur_Species,Name,GerminationTime
1,1,5781,AM219,1,4.48,4.03,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
2,2,5782,AM219,2,4.08,3.69,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
3,3,5783,AM219,3,4.05,3.92,Capsicum annuum,"Gut-passed, Washed",9/6/23,1,L. catta,Narcissa,15
4,4,5784,AM219,4,3.93,2.98,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
5,5,5785,AM219,5,4.17,3.51,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
6,6,5786,AM220,1,4.37,3.7,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
7,7,5787,AM220,2,3.87,3.24,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
8,8,5788,AM220,3,3.86,3.36,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
9,9,1731,DW008,1,10.65,4.24,Cucumis melo var. cantalupensis,Gut-passed,2/1/23,1,E. mongoz,Bonita,14
10,10,1732,DW008,2,8.68,3.82,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. mongoz,Bonita,NA
11,11,1733,DW009,3,4.4,4.13,Capsicum annuum,Gut-passed,2/1/23,1,E. mongoz,Nacho,14
12,12,2816,AM077,1,4.17,3.51,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
13,13,2817,AM077,2,4.55,3.98,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
14,14,2818,AM077,3,4.73,4.22,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
15,15,2819,AM077,4,4.19,3.54,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
16,16,2820,AM077,5,4.7,3.97,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
