"","X","Length","Plant","Treatment","Germination","Lemur","GerminationDate","Date","Weight","Type"
"1",1,1.49962304642689,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"2",2,1.40609698841607,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"3",3,1.39871688111845,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-09-06","2023-08-22",7.54960916515453,"Captive"
"4",4,1.36863942588117,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"5",5,1.42791603581071,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"6",6,1.4747630091075,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"7",7,1.35325450704169,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"8",8,1.35066718347674,"Red Bell Pepper","Gut-passed, Washed",1,"L. catta","2023-08-30","2023-08-22",7.54960916515453,"Captive"
"9",9,2.36555989215543,"Cantaloupe","Gut-passed",1,"E. mongoz","2023-02-01","2023-01-18",7.39018142822643,"Captive"
"10",10,2.16102152867226,"Cantaloupe","Gut-passed",0,"E. mongoz",NA,"2023-01-18",7.39018142822643,"Captive"
"11",11,1.48160454092422,"Red Bell Pepper","Gut-passed",1,"E. mongoz","2023-02-01","2023-01-18",7.24422751560335,"Captive"
"12",12,1.42791603581071,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"13",13,1.51512723296286,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"14",14,1.55392520250384,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"15",15,1.43270073393405,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"16",16,1.54756250871601,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"17",17,1.36609165380237,"Tomato","Gut-passed, Washed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"18",18,1.44220199305819,"Red Bell Pepper","Gut-passed, Washed",1,"E. mongoz","2023-02-01","2023-01-18",7.24422751560335,"Captive"
"19",19,1.51732262352629,"Red Bell Pepper","Gut-passed",1,"E. mongoz","2023-03-08","2023-02-22",7.4730690880322,"Captive"
"20",20,1.52822785700856,"Red Bell Pepper","Gut-passed",1,"E. mongoz","2023-03-01","2023-02-22",7.27239839257005,"Captive"
"21",21,1.36863942588117,"Red Bell Pepper","Gut-passed",1,"E. mongoz","2023-03-03","2023-02-22",7.27239839257005,"Captive"
"22",22,0.783901543828409,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"23",23,0.783901543828409,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"24",24,0.576613364303994,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"25",25,1.36353737399727,"Red Bell Pepper","Gut-passed, Washed",0,"L. catta",NA,"2023-08-22",7.8935720735049,"Captive"
"26",26,1.36609165380237,"Red Bell Pepper","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"27",27,0.828551817566148,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"28",28,0.858661619037519,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
"29",29,0.828551817566148,"Kiwi","Gut-passed",0,"E. mongoz",NA,"2023-02-22",7.27239839257005,"Captive"
