"","Length","Plant","Treatment","Germination","Lemur","GerminationDate","Date","Weight","Type","Time"
"1",1.49962304642689,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"2",1.40609698841607,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"3",1.39871688111845,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-09-06,2023-08-22,7.54960916515453,"Captive",15
"4",1.36863942588117,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"5",1.42791603581071,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"6",1.4747630091075,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"7",1.35325450704169,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"8",1.35066718347674,"Capsicum annuum","Gut-passed, Washed",1,"L. catta",2023-08-30,2023-08-22,7.54960916515453,"Captive",8
"9",2.36555989215543,"Cucumis melo var. cantalupensis","Gut-passed",1,"E. mongoz",2023-02-01,2023-01-18,7.39018142822643,"Captive",14
"10",1.48160454092422,"Capsicum annuum","Gut-passed",1,"E. mongoz",2023-02-01,2023-01-18,7.24422751560335,"Captive",14
"11",1.42791603581071,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"12",1.51512723296286,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"13",1.55392520250384,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"14",1.43270073393405,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"15",1.54756250871601,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"16",1.36609165380237,"Solanum lycopersicum","Gut-passed, Washed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"17",1.44220199305819,"Capsicum annuum","Gut-passed, Washed",1,"E. mongoz",2023-02-01,2023-01-18,7.24422751560335,"Captive",14
"18",1.51732262352629,"Capsicum annuum","Gut-passed",1,"E. mongoz",2023-03-08,2023-02-22,7.4730690880322,"Captive",14
"19",1.52822785700856,"Capsicum annuum","Gut-passed",1,"E. mongoz",2023-03-01,2023-02-22,7.27239839257005,"Captive",7
"20",1.36863942588117,"Capsicum annuum","Gut-passed",1,"E. mongoz",2023-03-03,2023-02-22,7.27239839257005,"Captive",9
"21",1.52388002407245,"Capsicum annuum","Gut-passed",1,"E. mongoz",2023-03-03,2023-02-22,7.27239839257005,"Captive",9
