,X,Germination.Date,Date,germ,Treatment,Lemur_Species,Plant_Species_Common_Name,Length_log
1,1,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.499623046
2,2,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.406096988
3,3,9/6/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.398716881
4,4,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.368639426
5,5,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.427916036
6,6,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.474763009
7,7,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.353254507
8,8,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.350667183
9,9,2/1/23,1/18/23,1,Gut-passed,E. mongoz,Cucumis melo var. cantalupensis,2.365559892
10,10,2/1/23,1/18/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.481604541
11,11,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.427916036
12,12,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.515127233
13,13,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.553925203
14,14,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.432700734
15,15,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.547562509
16,16,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.366091654
17,17,2/1/23,1/18/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.442201993
18,18,3/8/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.517322624
19,19,3/1/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.528227857
20,20,3/3/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.368639426
21,21,3/3/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.523880024
22,22,3/1/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.497388409
23,23,3/1/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.463255402
24,24,3/3/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.519513205
25,25,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.460937904
26,26,3/3/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.432700734
27,27,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.486139696
28,28,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.506297154
29,29,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.444563269
30,30,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.54329811
31,31,3/3/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.499623046
32,32,3/3/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.463255402
33,33,3/8/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.391281903
34,34,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.508511994
35,35,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.358409158
36,36,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.383791231
37,37,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.435084525
38,38,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.44926916
39,39,8/25/23,8/22/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.403642999
40,40,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.25846099
41,41,8/25/23,8/22/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.465567542
42,42,8/25/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.891998039
43,43,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.78845736
44,44,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.779324877
45,45,8/25/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.708035793
46,46,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.662687973
47,47,8/30/23,8/22/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.698134722
48,48,3/15/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Actinidia deliciosa,0.741937345
49,49,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.574846468
50,50,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.406096988
51,51,4/5/23,1/18/23,1,Gut-passed,E. mongoz,Cucumis melo var. cantalupensis,2.279316466
52,52,2/1/23,1/18/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.435084525
53,53,1/25/23,1/18/23,1,Gut-passed,E. mongoz,Cucumis melo var. cantalupensis,2.276241118
54,54,4/5/23,1/18/23,1,"Gut-passed, Washed",E. mongoz,Cucumis melo var. cantalupensis,2.270061901
55,55,2/1/23,1/18/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.427916036
56,56,1/25/23,1/18/23,1,"Gut-passed, Washed",E. mongoz,Cucumis melo var. cantalupensis,2.32532458
57,57,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.523880024
58,58,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.497388409
59,59,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.530394705
60,60,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.506297154
61,61,3/1/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.430311247
62,62,3/1/23,2/22/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.437462648
63,63,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.556037136
64,64,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.530394705
65,65,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.413423029
66,66,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.517322624
67,67,3/1/23,2/22/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.463255402
68,68,3/22/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.321406847
69,69,3/1/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.069391206
70,70,2/24/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.18492705
71,71,2/24/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.274185618
72,72,2/24/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.530394705
73,73,2/24/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.386294361
74,74,2/17/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.523880024
75,75,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.33408376
76,76,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.346601978
77,77,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.354228326
78,78,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.283402274
79,79,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.214846179
80,80,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.316487998
81,81,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.38416508
82,82,3/8/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.320425011
83,83,2/22/23,2/8/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.255493485
84,84,3/3/23,2/8/23,1,Gut-passed,E. flavifrons,Actinidia deliciosa,0.815364813
85,85,3/1/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.481604541
86,86,2/22/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.532556868
87,87,2/17/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.591273942
88,88,2/17/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.386294361
89,89,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.510721939
90,90,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.589235205
91,91,2/15/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.458615023
92,92,2/24/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.231089091
93,93,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.497388409
94,94,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.497388409
95,95,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.510721939
96,96,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.574846468
97,97,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.427916036
98,98,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.501852702
99,99,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.541159072
100,100,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.526056303
101,101,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.420695788
102,102,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.451613827
103,103,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.508511994
104,104,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.572773928
105,105,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.373975089
106,106,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.199444334
107,107,2/22/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Actinidia deliciosa,0.819779831
108,108,2/17/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Actinidia deliciosa,0.875468737
109,109,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.286455711
110,110,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Solanum lycopersicum,1.460937904
111,111,2/15/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Solanum lycopersicum,1.477048724
112,112,2/17/23,2/8/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.570697084
113,113,2/24/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.239645293
114,114,2/22/23,2/8/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.252343877
115,115,10/18/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.928219303
116,116,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.959350221
